ï»¿"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"13-JUL-2026","AASTHA","Aastha Spintex Limited","RATHOD DIGVIJAYSINH RAJENDRASINH","BUY","1,90,000","129.02","-"
"13-JUL-2026","AASTHA","Aastha Spintex Limited","RATHOD DIGVIJAYSINH RAJENDRASINH","SELL","2,39,906","129.02","-"
"13-JUL-2026","AGIIL","Agi Infra Limited","ARIHANT CAPITAL MARKETS LIMITED","SELL","17,80,779","348.99","-"
"13-JUL-2026","AGIIL","Agi Infra Limited","ARIHANT CAPITAL MARKETS LIMITED","BUY","18,02,409","349.09","-"
"13-JUL-2026","AGIIL","Agi Infra Limited","DEALMONEY COMMODITIES PRIVATE LIMITED","SELL","6,68,444","348.50","-"
"13-JUL-2026","AGIIL","Agi Infra Limited","DEALMONEY COMMODITIES PRIVATE LIMITED","BUY","6,68,444","349.04","-"
"13-JUL-2026","ATALREAL","Atal Realtech Limited","ALTIZEN VENTURES LLP","SELL","2,50,000","29.15","-"
"13-JUL-2026","ATALREAL","Atal Realtech Limited","ALTIZEN VENTURES LLP","BUY","14,84,429","28.60","-"
"13-JUL-2026","ATALREAL","Atal Realtech Limited","HRTI PRIVATE LIMITED","BUY","2,50,969","28.89","-"
"13-JUL-2026","ATALREAL","Atal Realtech Limited","HRTI PRIVATE LIMITED","SELL","11,58,665","28.73","-"
"13-JUL-2026","ATALREAL","Atal Realtech Limited","VISHAL MAHESH WAGHELA","SELL","1,50,000","28.76","-"
"13-JUL-2026","ATALREAL","Atal Realtech Limited","VISHAL MAHESH WAGHELA","BUY","14,00,000","28.91","-"
"13-JUL-2026","BANG","Bang Overseas Limited","SANDEEP JAIN","SELL","1,00,005","29.02","-"
"13-JUL-2026","BCLIND","BCL Industries Limited","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","15,35,944","38.03","-"
"13-JUL-2026","BCLIND","BCL Industries Limited","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","15,37,217","37.99","-"
"13-JUL-2026","BCLIND","BCL Industries Limited","MICROCURVES TRADING PRIVATE LIMITED","SELL","17,92,882","38.27","-"
"13-JUL-2026","BCLIND","BCL Industries Limited","MICROCURVES TRADING PRIVATE LIMITED","BUY","17,92,882","38.21","-"
"13-JUL-2026","BCLIND","BCL Industries Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","21,94,137","38.23","-"
"13-JUL-2026","BCLIND","BCL Industries Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","21,94,137","38.20","-"
"13-JUL-2026","BCLIND","BCL Industries Limited","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","BUY","24,59,823","38.32","-"
"13-JUL-2026","BCLIND","BCL Industries Limited","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","SELL","24,59,823","38.36","-"
"13-JUL-2026","BFINVEST","BF Investment Limited","ANKITA VISHAL SHAH","SELL","2,42,109","578.25","-"
"13-JUL-2026","BFINVEST","BF Investment Limited","ANKITA VISHAL SHAH","BUY","2,93,508","571.13","-"
"13-JUL-2026","BMLL","Bio Medica Laboratories L","MAHABIR TRADEVENTURES LLP","BUY","1,50,000","139.51","-"
"13-JUL-2026","BMLL","Bio Medica Laboratories L","SUNRISE GILTS & SECURITIES PVT LTD","SELL","67,000","140.00","-"
"13-JUL-2026","CNL","Creative Newtech Limited","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","1,15,871","955.69","-"
"13-JUL-2026","CNL","Creative Newtech Limited","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","1,17,285","955.65","-"
"13-JUL-2026","CNL","Creative Newtech Limited","MICROCURVES TRADING PRIVATE LIMITED","SELL","81,267","964.30","-"
"13-JUL-2026","CNL","Creative Newtech Limited","MICROCURVES TRADING PRIVATE LIMITED","BUY","81,267","964.62","-"
"13-JUL-2026","CNL","Creative Newtech Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","76,203","963.16","-"
"13-JUL-2026","CNL","Creative Newtech Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","76,203","963.54","-"
"13-JUL-2026","FINOPB","Fino Payments Bank Ltd","AGREYA CAPITAL ADVISORS LLP","SELL","5,76,850","154.20","-"
"13-JUL-2026","FINOPB","Fino Payments Bank Ltd","DIPAN MEHTA COMMODITIES PRIVATE LIMITED","SELL","9,54,854","151.31","-"
"13-JUL-2026","FINOPB","Fino Payments Bank Ltd","DIPAN MEHTA COMMODITIES PRIVATE LIMITED","BUY","9,66,854","150.93","-"
"13-JUL-2026","FINOPB","Fino Payments Bank Ltd","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","SELL","4,39,792","154.96","-"
"13-JUL-2026","FINOPB","Fino Payments Bank Ltd","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","BUY","4,58,802","154.21","-"
"13-JUL-2026","FINOPB","Fino Payments Bank Ltd","GRT STRATEGIC VENTURES LLP","BUY","5,68,417","151.02","-"
"13-JUL-2026","FINOPB","Fino Payments Bank Ltd","GRT STRATEGIC VENTURES LLP","SELL","5,68,417","151.06","-"
"13-JUL-2026","FINOPB","Fino Payments Bank Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","8,02,212","151.51","-"
"13-JUL-2026","FINOPB","Fino Payments Bank Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","8,03,061","151.86","-"
"13-JUL-2026","FINOPB","Fino Payments Bank Ltd","MICROCURVES TRADING PRIVATE LIMITED","BUY","9,22,452","152.82","-"
"13-JUL-2026","FINOPB","Fino Payments Bank Ltd","MICROCURVES TRADING PRIVATE LIMITED","SELL","9,22,452","153.10","-"
"13-JUL-2026","FINOPB","Fino Payments Bank Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","11,20,291","152.67","-"
"13-JUL-2026","FINOPB","Fino Payments Bank Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","11,20,291","152.75","-"
"13-JUL-2026","FINOPB","Fino Payments Bank Ltd","QE SECURITIES LLP","SELL","5,33,667","150.08","-"
"13-JUL-2026","FINOPB","Fino Payments Bank Ltd","QE SECURITIES LLP","BUY","5,43,314","150.68","-"
"13-JUL-2026","FINOPB","Fino Payments Bank Ltd","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","BUY","5,13,586","151.50","-"
"13-JUL-2026","FINOPB","Fino Payments Bank Ltd","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","SELL","5,13,586","152.20","-"
"13-JUL-2026","INDIANHUME","Indian Hume Pipe Co. Ltd","REMCOM SALES SERVICES PVT LTD","BUY","3,45,000","394.43","-"
"13-JUL-2026","JSFB","Jana Small Fin Bank Ltd","MONET SECURITIES PRIVATE LTD","BUY","10,77,288","488.30","-"
"13-JUL-2026","JSFB","Jana Small Fin Bank Ltd","QRG INVESTMENTS AND HOLDINGS LIMITED","SELL","10,77,288","488.30","-"
"13-JUL-2026","JUSTDIAL","Justdial Ltd.","MICROCURVES TRADING PRIVATE LIMITED","SELL","4,90,676","646.50","-"
"13-JUL-2026","JUSTDIAL","Justdial Ltd.","MICROCURVES TRADING PRIVATE LIMITED","BUY","4,90,676","646.26","-"
"13-JUL-2026","JUSTDIAL","Justdial Ltd.","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","5,35,765","643.39","-"
"13-JUL-2026","JUSTDIAL","Justdial Ltd.","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","5,35,783","643.12","-"
"13-JUL-2026","JUSTDIAL","Justdial Ltd.","QE SECURITIES LLP","BUY","5,86,435","650.35","-"
"13-JUL-2026","JUSTDIAL","Justdial Ltd.","QE SECURITIES LLP","SELL","5,87,492","645.05","-"
"13-JUL-2026","KALYANKJIL","Kalyan Jewellers Ind Ltd","GRAVITON RESEARCH CAPITAL LLP","SELL","1,05,93,217","502.86","-"
"13-JUL-2026","KALYANKJIL","Kalyan Jewellers Ind Ltd","GRAVITON RESEARCH CAPITAL LLP","BUY","1,05,93,217","502.88","-"
"13-JUL-2026","KALYANKJIL","Kalyan Jewellers Ind Ltd","HRTI PRIVATE LIMITED","BUY","81,17,916","509.67","-"
"13-JUL-2026","KALYANKJIL","Kalyan Jewellers Ind Ltd","HRTI PRIVATE LIMITED","SELL","83,05,158","509.56","-"
"13-JUL-2026","KCK","Kck Industries Limited","SATYAJIT SHIVAJIRAO NAIK","SELL","3,40,000","16.13","-"
"13-JUL-2026","KNACK","Knack Packaging Limited","YUGA STOCKS AND COMMODITIES PRIVATE LIMITED","BUY","3,34,305","214.37","-"
"13-JUL-2026","KNACK","Knack Packaging Limited","YUGA STOCKS AND COMMODITIES PRIVATE LIMITED","SELL","10,34,305","213.11","-"
"13-JUL-2026","MANCREDIT","Mangal Credit N Fincorp L","BULLPULSE MARKETEDGE PRIVATE LIMITED","SELL","1,73,754","245.57","-"
